"YEAR","state","Type_of_Producer","Total","Coal","HydroElectric","Gas","Petroleum","Wind","wood","Nuclear","biomass","Other Gases","Pumped Storage","Geothermal","Other","Solar","GeoFips","GeoName","GdpinMioUSD","SunHours","sunUnit","AvgWindSpeed","UnitWind","Population","EducationIndex","dem_percent","rep_percent"
1990,"CO","Combined Heat and Power, Commercial Power",25208,0,0,0,0,0,0,0,25208,0,0,0,0,0,"08000","Colorado",382584.7,"4.87","hours","20.16","mph"," 5,197,580","14.14",55.4,41.9
1990,"CT","Total Electric Power Industry",35147247,3594645,570619,1251479,8874466,0,0,19776250,1073310,4,6474,0,0,0,"09000","Connecticut",276422.9,"3.84","hours","13.97","mph"," 3,592,053","14.05",59.3,39.2
1990,"CT","Electric Generators, Independent Power Producers",672825,0,67239,0,0,0,0,0,605586,0,0,0,0,0,"09000","Connecticut",276422.9,"3.84","hours","13.97","mph"," 3,592,053","14.05",59.3,39.2
1990,"CT","Electric Generators, Electric Utilities",32155574,2351049,495848,471836,8632571,0,0,19776250,421546,0,6474,0,0,0,"09000","Connecticut",276422.9,"3.84","hours","13.97","mph"," 3,592,053","14.05",59.3,39.2
1990,"CT","Combined Heat and Power, Industrial Power",190315,0,7532,10612,172171,0,0,0,0,0,0,0,0,0,"09000","Connecticut",276422.9,"3.84","hours","13.97","mph"," 3,592,053","14.05",59.3,39.2
1990,"CT","Combined Heat and Power, Electric Power",1986751,1243596,0,654360,42613,0,0,0,46178,4,0,0,0,0,"09000","Connecticut",276422.9,"3.84","hours","13.97","mph"," 3,592,053","14.05",59.3,39.2
1990,"CT","Combined Heat and Power, Commercial Power",141782,0,0,114671,27111,0,0,0,0,0,0,0,0,0,"09000","Connecticut",276422.9,"3.84","hours","13.97","mph"," 3,592,053","14.05",59.3,39.2
1990,"DC","Total Electric Power Industry",361043,0,0,0,361043,0,0,0,0,0,0,0,0,0,"11000","District of Columbia",144554.8,0,0,"31.44","mph"," 633,736","14.93",92.1,5.4
1990,"DC","Electric Generators, Electric Utilities",361043,0,0,0,361043,0,0,0,0,0,0,0,0,0,"11000","District of Columbia",144554.8,0,0,"31.44","mph"," 633,736","14.93",92.1,5.4
1990,"DC","Combined Heat and Power, Commercial Power",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11000","District of Columbia",144554.8,0,0,"31.44","mph"," 633,736","14.93",92.1,5.4
1990,"DE","Total Electric Power Industry",7841500,5113479,0,763019,1793806,0,0,0,0,164881,0,0,6315,0,"10000","Delaware",75786.5,"4.23","hours","12.91","mph"," 917,060","13.60",58.7,39.8
1990,"DE","Electric Generators, Electric Utilities",7099663,4904473,0,759004,1436186,0,0,0,0,0,0,0,0,0,"10000","Delaware",75786.5,"4.23","hours","12.91","mph"," 917,060","13.60",58.7,39.8
1990,"DE","Combined Heat and Power, Industrial Power",741837,209006,0,4015,357620,0,0,0,0,164881,0,0,6315,0,"10000","Delaware",75786.5,"4.23","hours","12.91","mph"," 917,060","13.60",58.7,39.8
1990,"FL","Total Electric Power Industry",131502553,60100257,174604,18642683,25535138,0,2144131,21779560,1673078,0,0,0,1453102,0,"12000","Florida",1106035.5,"5.67","hours","14.63","mph"," 19,361,792","13.42",47.9,51.2
1990,"FL","Electric Generators, Independent Power Producers",1695776,0,0,1166,769,0,151198,0,1542643,0,0,0,0,0,"12000","Florida",1106035.5,"5.67","hours","14.63","mph"," 19,361,792","13.42",47.9,51.2
1990,"FL","Electric Generators, Electric Utilities",123623905,59073203,174604,17504242,25092296,0,0,21779560,0,0,0,0,0,0,"12000","Florida",1106035.5,"5.67","hours","14.63","mph"," 19,361,792","13.42",47.9,51.2
1990,"FL","Combined Heat and Power, Industrial Power",5290804,383736,0,928175,435153,0,1992933,0,97705,0,0,0,1453102,0,"12000","Florida",1106035.5,"5.67","hours","14.63","mph"," 19,361,792","13.42",47.9,51.2
1990,"FL","Combined Heat and Power, Electric Power",647307,643318,0,0,3989,0,0,0,0,0,0,0,0,0,"12000","Florida",1106035.5,"5.67","hours","14.63","mph"," 19,361,792","13.42",47.9,51.2
1990,"FL","Combined Heat and Power, Commercial Power",244761,0,0,209100,2931,0,0,0,32730,0,0,0,0,0,"12000","Florida",1106035.5,"5.67","hours","14.63","mph"," 19,361,792","13.42",47.9,51.2
1990,"GA","Total Electric Power Industry",102686240,68545692,4589117,830180,499480,0,2947319,24796884,135457,0,342110,0,1,0,"13000","Georgia",622627.8,"4.74","hours","15.34","mph"," 9,907,756","13.41",49.5,49.3
1990,"GA","Electric Generators, Independent Power Producers",8021,0,7982,24,15,0,0,0,0,0,0,0,0,0,"13000","Georgia",622627.8,"4.74","hours","15.34","mph"," 9,907,756","13.41",49.5,49.3
1990,"GA","Electric Generators, Electric Utilities",97565058,67564750,4544712,151615,164987,0,0,24796884,0,0,342110,0,0,0,"13000","Georgia",622627.8,"4.74","hours","15.34","mph"," 9,907,756","13.41",49.5,49.3
1990,"GA","Combined Heat and Power, Industrial Power",5110380,980942,36423,678423,331815,0,2947319,0,135457,0,0,0,1,0,"13000","Georgia",622627.8,"4.74","hours","15.34","mph"," 9,907,756","13.41",49.5,49.3
1990,"GA","Combined Heat and Power, Commercial Power",2781,0,0,118,2663,0,0,0,0,0,0,0,0,0,"13000","Georgia",622627.8,"4.74","hours","15.34","mph"," 9,907,756","13.41",49.5,49.3
1990,"HI","Total Electric Power Industry",9702752,2381,79516,0,8735862,28825,0,0,840005,16163,0,0,0,0,"15000","Hawaii",82884.6,"6.02","hours","14.03","mph"," 1,392,704","13.80",63.7,34.3
1990,"HI","Electric Generators, Independent Power Producers",385510,0,0,0,13834,28825,0,0,342851,0,0,0,0,0,"15000","Hawaii",82884.6,"6.02","hours","14.03","mph"," 1,392,704","13.80",63.7,34.3
1990,"HI","Electric Generators, Electric Utilities",7996096,0,22743,0,7967354,0,0,0,5999,0,0,0,0,0,"15000","Hawaii",82884.6,"6.02","hours","14.03","mph"," 1,392,704","13.80",63.7,34.3
1990,"HI","Combined Heat and Power, Industrial Power",778856,1196,56773,0,296733,0,0,0,407991,16163,0,0,0,0,"15000","Hawaii",82884.6,"6.02","hours","14.03","mph"," 1,392,704","13.80",63.7,34.3
1990,"HI","Combined Heat and Power, Electric Power",542290,1185,0,0,457941,0,0,0,83164,0,0,0,0,0,"15000","Hawaii",82884.6,"6.02","hours","14.03","mph"," 1,392,704","13.80",63.7,34.3
1990,"IA","Total Electric Power Industry",30044506,25751941,875114,333390,54471,0,0,3011572,18018,0,0,0,0,0,"19000","Iowa",194267.6,"4.55","hours","18.09","mph"," 3,078,116","13.60",44.9,53.1
1990,"IA","Electric Generators, Independent Power Producers",19955,0,18266,1392,297,0,0,0,0,0,0,0,0,0,"19000","Iowa",194267.6,"4.55","hours","18.09","mph"," 3,078,116","13.60",44.9,53.1
1990,"IA","Electric Generators, Electric Utilities",29047940,24879567,856848,231263,51315,0,0,3011572,17375,0,0,0,0,0,"19000","Iowa",194267.6,"4.55","hours","18.09","mph"," 3,078,116","13.60",44.9,53.1
1990,"IA","Combined Heat and Power, Industrial Power",835446,757340,0,74960,2503,0,0,0,643,0,0,0,0,0,"19000","Iowa",194267.6,"4.55","hours","18.09","mph"," 3,078,116","13.60",44.9,53.1
1990,"IA","Combined Heat and Power, Electric Power",123970,103126,0,20844,0,0,0,0,0,0,0,0,0,0,"19000","Iowa",194267.6,"4.55","hours","18.09","mph"," 3,078,116","13.60",44.9,53.1
1990,"IA","Combined Heat and Power, Commercial Power",17195,11908,0,4931,356,0,0,0,0,0,0,0,0,0,"19000","Iowa",194267.6,"4.55","hours","18.09","mph"," 3,078,116","13.60",44.9,53.1
1990,"ID","Total Electric Power Industry",9691475,44371,9114990,55714,994,0,410203,0,0,0,0,0,65203,0,"16000","Idaho",83821.6,"4.92","hours","20.59","mph"," 1,599,464","13.54",33.1,63.9
1990,"ID","Electric Generators, Independent Power Producers",497628,0,497628,0,0,0,0,0,0,0,0,0,0,0,"16000","Idaho",83821.6,"4.92","hours","20.59","mph"," 1,599,464","13.54",33.1,63.9
1990,"ID","Electric Generators, Electric Utilities",8617977,0,8617362,0,615,0,0,0,0,0,0,0,0,0,"16000","Idaho",83821.6,"4.92","hours","20.59","mph"," 1,599,464","13.54",33.1,63.9
